indicator,area_name,area_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
S2 boys mean mental wellbeing score,Scotland,S00000001,Scotland,2012,2010-2013 combined survey years,14946,51.09,50.94,51.24,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Aberdeen City,S12000033,Council area,2012,2010-2013 combined survey years,520,51.12,50.4,51.84,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Aberdeenshire,S12000034,Council area,2012,2010-2013 combined survey years,756,50.85,50.25,51.45,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Angus,S12000041,Council area,2012,2010-2013 combined survey years,330,49.4,48.47,50.33,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Argyll & Bute,S12000035,Council area,2012,2010-2013 combined survey years,263,50.26,49.19,51.33,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,City of Edinburgh,S12000036,Council area,2012,2010-2013 combined survey years,1152,50.68,50.15,51.21,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Clackmannanshire,S12000005,Council area,2012,2010-2013 combined survey years,157,48.8,47.14,50.46,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Dumfries & Galloway,S12000006,Council area,2012,2010-2013 combined survey years,389,49.97,49.01,50.93,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Dundee City,S12000042,Council area,2012,2010-2013 combined survey years,379,50.54,49.54,51.54,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,East Ayrshire,S12000008,Council area,2012,2010-2013 combined survey years,357,52.23,51.2,53.26,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,East Dunbartonshire,S12000045,Council area,2012,2010-2013 combined survey years,355,52.85,51.98,53.72,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,East Lothian,S12000010,Council area,2012,2010-2013 combined survey years,272,50.07,49,51.14,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,East Renfrewshire,S12000011,Council area,2012,2010-2013 combined survey years,381,52.26,51.32,53.2,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Falkirk,S12000014,Council area,2012,2010-2013 combined survey years,436,51.56,50.65,52.47,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Fife,S12000047,Council area,2012,2010-2013 combined survey years,1037,50.6,50,51.2,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Glasgow City,S12000049,Council area,2012,2010-2013 combined survey years,1430,50.69,50.16,51.22,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Highland,S12000017,Council area,2012,2010-2013 combined survey years,669,51.01,50.39,51.63,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Inverclyde,S12000018,Council area,2012,2010-2013 combined survey years,244,52.05,50.81,53.29,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Midlothian,S12000019,Council area,2012,2010-2013 combined survey years,253,50.88,49.77,51.99,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Moray,S12000020,Council area,2012,2010-2013 combined survey years,311,50.49,49.47,51.51,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Na h-Eileanan Siar,S12000013,Council area,2012,2010-2013 combined survey years,77,50.8,48.81,52.79,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,North Ayrshire,S12000021,Council area,2012,2010-2013 combined survey years,372,50.57,49.56,51.58,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,North Lanarkshire,S12000050,Council area,2012,2010-2013 combined survey years,1007,51.72,51.13,52.31,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Orkney Islands,S12000023,Council area,2012,2010-2013 combined survey years,62,50.37,48.2,52.54,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 boys mean mental wellbeing score,Perth & Kinross,S12000048,Council area,2012,2010-2013 combined survey years,433,51.85,51.09,52.61,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
