indicator,area_name,area_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
S2 girls mean mental wellbeing score,Scotland,S00000001,Scotland,2012,2010-2013 combined survey years,15081,49.33,49.18,49.48,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Aberdeen City,S12000033,Council area,2012,2010-2013 combined survey years,539,48.45,47.66,49.23,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Aberdeenshire,S12000034,Council area,2012,2010-2013 combined survey years,736,49.25,48.56,49.95,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Angus,S12000041,Council area,2012,2010-2013 combined survey years,332,48.73,47.71,49.76,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Argyll & Bute,S12000035,Council area,2012,2010-2013 combined survey years,227,49.55,48.4,50.7,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,City of Edinburgh,S12000036,Council area,2012,2010-2013 combined survey years,1245,49.51,48.98,50.04,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Clackmannanshire,S12000005,Council area,2012,2010-2013 combined survey years,150,47.59,45.94,49.25,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Dumfries & Galloway,S12000006,Council area,2012,2010-2013 combined survey years,438,49.53,48.69,50.36,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Dundee City,S12000042,Council area,2012,2010-2013 combined survey years,385,48.04,47.09,48.99,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,East Ayrshire,S12000008,Council area,2012,2010-2013 combined survey years,314,49.03,47.97,50.08,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,East Dunbartonshire,S12000045,Council area,2012,2010-2013 combined survey years,373,51.1,50.11,52.08,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,East Lothian,S12000010,Council area,2012,2010-2013 combined survey years,267,48.71,47.53,49.88,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,East Renfrewshire,S12000011,Council area,2012,2010-2013 combined survey years,366,51.98,51.05,52.91,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Falkirk,S12000014,Council area,2012,2010-2013 combined survey years,444,49.54,48.7,50.39,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Fife,S12000047,Council area,2012,2010-2013 combined survey years,1044,48.3,47.69,48.92,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Glasgow City,S12000049,Council area,2012,2010-2013 combined survey years,1456,49.33,48.82,49.83,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Highland,S12000017,Council area,2012,2010-2013 combined survey years,705,48.78,48.1,49.46,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Inverclyde,S12000018,Council area,2012,2010-2013 combined survey years,246,49.81,48.43,51.19,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Midlothian,S12000019,Council area,2012,2010-2013 combined survey years,243,47.97,46.76,49.17,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Moray,S12000020,Council area,2012,2010-2013 combined survey years,299,48.66,47.71,49.61,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Na h-Eileanan Siar,S12000013,Council area,2012,2010-2013 combined survey years,78,51.21,49.27,53.16,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,North Ayrshire,S12000021,Council area,2012,2010-2013 combined survey years,400,48.32,47.37,49.26,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,North Lanarkshire,S12000050,Council area,2012,2010-2013 combined survey years,1080,49.79,49.22,50.37,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Orkney Islands,S12000023,Council area,2012,2010-2013 combined survey years,54,48.68,46.28,51.07,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S2 girls mean mental wellbeing score,Perth & Kinross,S12000048,Council area,2012,2010-2013 combined survey years,445,49.59,48.71,50.48,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
